No.,Atoll,Location,name: en,Atoll: dv,fullname:dv,name: dv
231,R,R - Bodufushi,Bodufushi,ރ,ރ. ބޮޑުފުށި,ބޮޑުފުށި
232,R,R - Boduhuraa,Boduhuraa,ރ,ރ. ބޮޑުހުރާ,ބޮޑުހުރާ
233,R,R - Dheburidheythereyvaadhoo,Dheburidheythereyvaadhoo,ރ,ރ. ދެބުރިދޭތެރޭވާދޫ,ދެބުރިދޭތެރޭވާދޫ
234,R,R - Dhekunumaafaru,Dhekunumaafaru,ރ,ރ. ދެކުނުމާފަރު,ދެކުނުމާފަރު
235,R,R - Dhigali,Dhigali,ރ,ރ. ދިގަލި,ދިގަލި
236,R,R - Dhikkuredhdhoo,Dhikkuredhdhoo,ރ,ރ. ދިއްކުރެއްދޫ,ދިއްކުރެއްދޫ
237,R,R - Dhinnaafushi,Dhinnaafushi,ރ,ރ. ދިންނާފުށި,ދިންނާފުށި
238,R,R - Dhoragali,Dhoragali,ރ,ރ. ދޮރަނގަލި,ދޮރަނގަލި
239,R,R - Dhuvaafaru,Dhuvaafaru,ރ,ރ. ދުވާފަރު,ދުވާފަރު
240,R,R - Dhuvaafaruhuraa,Dhuvaafaruhuraa,ރ,ރ. ދުވާފަރުހުރާ,ދުވާފަރުހުރާ
241,R,R - Ehthigandujehihuraa,Ehthigandujehihuraa,ރ,ރ. އެތިގަނޑުޖެހިހުރާ,އެތިގަނޑުޖެހިހުރާ
242,R,R - Ehthigili,Ehthigili,ރ,ރ. އެއްތިގިނލި,އެއްތިގިނލި
243,R,R - Ekurufushifinolhu,Ekurufushifinolhu,ރ,ރ. އެކުރުފުށިފިނޮޅު,އެކުރުފުށިފިނޮޅު
244,R,R - Faarufushi,Faarufushi,ރ,ރ. ފާރުފުށި,ފާރުފުށި
245,R,R - Fasgandufaru,Fasgandufaru,ރ,ރ. ފަސްގަނޑުފަރު,ފަސްގަނޑުފަރު
246,R,R - Fasmendhoo,Fasmendhoo,ރ,ރ. ފަސްމެންދޫ,ފަސްމެންދޫ
247,R,R - Fenfushi,Fenfushi,ރ,ރ. ފެންފުށި,ފެންފުށި
