Atoll	Constituency 	Constituent Islands	Name of MP	Const	Location
K	Thulusdhoo Dhaairaa	Thulusdhoo	Ibrahim Naseem	H02	K - Thulusdhoo
K	Maafushi Dhaairaa	Guraidhoo	Hussain Riza Adam	H03	K - Guraidhoo
K	Maafushi Dhaairaa	Maafushi	Hussain Riza Adam	H03	K - Maafushi
K	Huraa Dhaairaa	Gulhi	Dr Anaara Naeem	H04	K - Gulhi
K	Huraa Dhaairaa	Himmafushi	Dr Anaara Naeem	H04	K - Himmafushi
K	Huraa Dhaairaa	Huraa	Dr Anaara Naeem	H04	K - Huraa
ADh	Maamigili Dhaairaa	Fenfushi	Qasim Ibrahim	I01	ADh - Fenfushi
ADh	Maamigili Dhaairaa	Maamigili	Qasim Ibrahim	I01	ADh - Maamigili
ADh	Mahibadhoo Dhaairaa	Hangnaameedhoo	Ahmed Thariq	I02	ADh - Hangnaameedhoo
ADh	Mahibadhoo Dhaairaa	Kunburudhoo	Ahmed Thariq	I02	ADh - Kunburudhoo
ADh	Mahibadhoo Dhaairaa	Mahibadhoo	Ahmed Thariq	I02	ADh - Mahibadhoo
ADh	Dhangethi Dhaairaa	Dhangethi	Abdulla Rasheed	I03	ADh - Dhangethi
ADh	Dhangethi Dhaairaa	Dhidhdhoo	Abdulla Rasheed	I03	ADh - Dhidhdhoo
ADh	Dhangethi Dhaairaa	Dhigurah	Abdulla Rasheed	I03	ADh - Dhigurah
ADh	Dhangethi Dhaairaa	Mandhoo	Abdulla Rasheed	I03	ADh - Mandhoo
ADh	Dhangethi Dhaairaa	Omadhoo	Abdulla Rasheed	I03	ADh - Omadhoo
V	Felidhoo Dhaairaa	Felidhoo	Adam Zahir	J01	V - Felidhoo
V	Felidhoo Dhaairaa	Fulidhoo	Adam Zahir	J01	V - Fulidhoo
V	Felidhoo Dhaairaa	Thinadhoo	Adam Zahir	J01	V - Thinadhoo
V	Keyodhoo Dhaairaa	Keyodhoo	Mohamed Niushad	J02	V - Keyodhoo
V	Keyodhoo Dhaairaa	Rakeedhoo	Mohamed Niushad	J02	V - Rakeedhoo
M	Dhiggaru Dhaairaa	Dhiggaru	Ahmed Nazim	K01	M - Dhiggaru
M	Dhiggaru Dhaairaa	Maduvvari	Ahmed Nazim	K01	M - Maduvvari
M	Dhiggaru Dhaairaa	Muli	Ahmed Nazim	K01	M - Muli
M	Dhiggaru Dhaairaa	Raiymandhoo	Ahmed Nazim	K01	M - Raiymandhoo
M	Dhiggaru Dhaairaa	Veyvah	Ahmed Nazim	K01	M - Veyvah
M	Mulaku Dhaairaa	Kolhufushi	Ibrahim Naufal	K02	M - Kolhufushi
M	Mulaku Dhaairaa	Mulah	Ibrahim Naufal	K02	M - Mulah
M	Mulaku Dhaairaa	Naalaafushi	Ibrahim Naufal	K02	M - Naalaafushi
F	Bileydhoo Dhaairaa	Bileydhoo	Ahmed Aslam	L01	F - Bileydhoo
F	Bileydhoo Dhaairaa	Feeali	Ahmed Aslam	L01	F - Feeali
F	Bileydhoo Dhaairaa	Magoodhoo	Ahmed Aslam	L01	F - Magoodhoo
F	Nilandhoo Dhaairaa	Dharanboodhoo	Fathimath Sauda	L02	F - Dharanboodhoo
F	Nilandhoo Dhaairaa	Nilandhoo	Fathimath Sauda	L02	F - Nilandhoo
Dh	Meedhoo Dhaairaa	Bandidhoo	Ahmed Siyam Mohamed	M01	Dh - Bandidhoo
Dh	Meedhoo Dhaairaa	Hulhudheli	Ahmed Siyam Mohamed	M01	Dh - Hulhudheli
Dh	Meedhoo Dhaairaa	Meedhoo	Ahmed Siyam Mohamed	M01	Dh - Meedhoo
Dh	Meedhoo Dhaairaa	Rinbidhoo	Ahmed Siyam Mohamed	M01	Dh - Rinbidhoo
Dh	Kudahuvadhoo Dhaairaa	Kudahuvadhoo	Hussain Hameed	M02	Dh - Kudahuvadhoo
Dh	Kudahuvadhoo Dhaairaa	Maaenboodhoo	Hussain Hameed	M02	Dh - Maaenboodhoo
Dh	Kudahuvadhoo Dhaairaa	Vaani	Hussain Hameed	M02	Dh - Vaani
Th	Vilifushi Dhaairaa	Buruni	Hussain Waheed	N01	Th - Buruni
Th	Vilifushi Dhaairaa	Madifushi	Hussain Waheed	N01	Th - Madifushi
Th	Vilifushi Dhaairaa	Vilufushi	Hussain Waheed	N01	Th - Vilufushi
Th	Thimarafushi Dhaairaa	Thimarafushi	Ahmed Riyaz	N02	Th - Thimarafushi
Th	Thimarafushi Dhaairaa	Veymandoo	Ahmed Riyaz	N02	Th - Veymandoo
Th	Guraidhoo Dhaairaa	Dhiyamagili	Hanan Mohamed Rasheed	N03	Th - Dhiyamagili
Th	Guraidhoo Dhaairaa	Gaadhihfushi	Hanan Mohamed Rasheed	N03	Th - Gaadhihfushi
Th	Guraidhoo Dhaairaa	Guraidhoo	Hanan Mohamed Rasheed	N03	Th - Guraidhoo
Th	Kinbidhoo Dhaairaa	Hirilandhoo	Ali Ashrag	N04	Th - Hirilandhoo
Th	Kinbidhoo Dhaairaa	Kandoodhoo	Ali Ashrag	N04	Th - Kandoodhoo
Th	Kinbidhoo Dhaairaa	Kinbidhoo	Ali Ashrag	N04	Th - Kinbidhoo
Th	Kinbidhoo Dhaairaa	Omadhoo	Ali Ashrag	N04	Th - Omadhoo
Th	Kinbidhoo Dhaairaa	Vaandhoo	Ali Ashrag	N04	Th - Vaandhoo
L	Isdhoo Dhaairaa	Dhanbidhoo	Ismail Shafeeu	O01	L - Dhanbidhoo
L	Isdhoo Dhaairaa	Isdhoo	Ismail Shafeeu	O01	L - Isdhoo
L	Isdhoo Dhaairaa	Kalaidhoo	Ismail Shafeeu	O01	L - Kalaidhoo
L	Isdhoo Dhaairaa	Maabaidhoo	Ismail Shafeeu	O01	L - Maabaidhoo
L	Gamu Dhaairaa	Gan	Yoosuf Nasheed	O02	L - Gan
L	Gamu Dhaairaa	Munro	Yoosuf Nasheed	O02	L - Munro
L	Fonadhoo Dhaairaa	Fonadhoo	Abdul Raheem Abdulla	O03	L - Fonadhoo
L	Fonadhoo Dhaairaa	Maamendhoo	Abdul Raheem Abdulla	O03	L - Maamendhoo
L	Maavashu Dhaairaa	Hithadhoo	Ahmed Shakir	O04	L - Hithadhoo
L	Maavashu Dhaairaa	Kunahandhoo	Ahmed Shakir	O04	L - Kunahandhoo
L	Maavashu Dhaairaa	Maavah	Ahmed Shakir	O04	L - Maavah
GA	Villingili Dhaairaa	Villingili	Azim Abdul Azeez	P01	GA - Villingili
